0.0173 -56.435 54.0161
0.0174 -56.5378 53.6621
0.0175 -56.6149 53.3325
0.0176 -56.7434 52.9541
0.0177 -56.7177 52.478
0.0178 -56.7691 52.0996
0.0179 -56.9747 51.6601
0.018 -57.0004 51.2817
0.0181 -57.1032 50.769
0.0182 -57.1546 50.4028
0.0183 -57.206 50.1099
0.0184 -57.2317 49.8413
0.0185 -57.3088 49.5239
0.0186 -57.4116 49.1089
0.0187 -57.4887 48.6572
0.0188 -57.4887 48.3887
0.0189 -57.6172 48.1934
0.019 -57.6429 47.9858
0.0191 -57.7971 47.9248
0.0192 -57.8485 47.6196
0.0193 -57.9256 47.1802
0.0194 -57.9513 46.6675
0.0195 -57.977 46.3257
0.0196 -58.0284 46.0083
0.0197 -58.0798 45.6665
0.0198 -58.1826 45.4468
0.0199 -58.3111 45.2759
0.02 -58.2854 45.0439
0.0201 -58.3882 44.6777
0.0202 -58.4139 44.1894
0.0203 -58.4139 43.6401
0.0204 -58.4396 43.3716
0.0205 -58.5167 43.0908
0.0206 -58.5938 42.7978
0.0207 -58.6451 42.5293
0.0208 -58.6451 42.0898
0.0209 -58.7479 41.7358
0.021 -58.7736 41.3574
0.0211 -58.8507 41.0644
0.0212 -58.8764 40.6982
0.0213 -58.9278 40.564
0.0214 -58.9021 40.4175
0.0215 -58.9535 40.2466
0.0216 -58.9535 40.0024
0.0217 -59.082 39.7217
0.0218 -59.1591 39.5508
0.0219 -59.2362 39.3555
0.022 -59.2619 38.977
0.0221 -59.2619 38.6108
0.0222 -59.3133 38.3179
0.0223 -59.3133 37.9272
0.0224 -59.4161 37.6343
0.0225 -59.4675 37.1704
0.0226 -59.4932 36.5845
0.0227 -59.5189 36.2183
0.0228 -59.5703 35.9497
0.0229 -59.5703 35.8398
0.023 -59.5446 35.7178
0.0231 -59.6217 35.5591
0.0232 -59.6474 35.1318
0.0233 -59.7502 34.8877
0.0234 -59.7759 34.7168
0.0235 -59.8273 34.6191
0.0236 -59.8273 34.4727
0.0237 -59.8787 34.2041
0.0238 -59.9301 33.8989
