0	-2.21619	-8.89893	-1.10901	9.42993
1e-4	-2.25067	-8.91052	-1.01471	9.31854
2e-4	-2.26868	-9.02679	-0.813904	9.33533
3e-4	-2.12616	-9.00055	-0.903015	9.31244
4e-4	-2.22443	-8.93829	-0.797119	9.14886
5e-4	-2.19177	-8.90869	-0.949707	9.14398
6e-4	-2.19513	-8.93005	-0.909119	9.12476
7e-4	-2.22626	-8.91876	-0.894775	9.06403
8e-4	-2.29004	-8.95142	-0.725098	9.0036
9e-4	-2.2522	-8.96454	-0.72876	9.09546
1e-3	-2.09015	-9.11652	-0.730591	9.21356
0.0011	-2.1048	-9.14612	-0.698242	9.19739
0.0012	-2.13593	-9.20166	-0.683899	9.16138
0.0013	-2.10663	-9.11316	-0.55481	9.20563
0.0014	-2.09839	-9.09027	-0.489502	9.04236
0.0015	-2.07886	-9.21478	-0.463562	8.95233
0.0016	-2.17712	-9.23431	-0.341187	9.07684
0.0017	-2.04437	-9.14276	-0.231628	9.01672
0.0018	-2.18018	-9.16412	-0.202332	8.9743
0.0019	-2.23419	8.98743	-0.189819	-9.07745
0.002	0.798645	9.04633	-0.0119019	-9.18182
0.0021	3.15521	9.03503	0.221863	-9.14734
0.0022	5.07202	8.95294	0.404968	-8.94104
0.0023	6.36658	9.0332	0.507813	-8.79517
0.0024	7.5351	8.98254	0.594482	-8.75244
0.0025	8.15796	8.99719	0.536804	-8.75885
0.0026	8.50525	9.09515	0.644836	-8.83392
0.0027	8.97369	9.07745	0.748901	-8.85864
0.0028	9.11102	9.10675	0.866699	-8.82538
0.0029	8.98041	9.19525	0.882874	-8.78113
0.003	9.00421	9.24255	0.892029	-8.8089
0.0031	8.69293	9.26239	0.817871	-8.67615
0.0032	8.29712	9.21326	0.991211	-8.80035
0.0033	7.86011	8.93829	0.951233	-8.85071
0.0034	7.42493	8.99078	1.04553	-9.00452
0.0035	6.7807	8.93341	0.853882	-8.91113
0.0036	6.24084	9.0152	1.13464	-8.83392
0.0037	5.65674	9.10187	1.26343	-8.70819
0.0038	5.271	9.11804	1.23169	-8.74359
0.0039	4.77966	9.30145	1.32111	-8.76495
0.004	4.40399	9.34418	1.52679	-8.90198
0.0041	3.79974	9.39819	1.50635	-8.67798
0.0042	3.19611	9.44244	1.5741	-8.68896
0.0043	2.57111	9.4458	1.47827	-8.41736
0.0044	2.005	9.39484	1.54419	-8.3139
0.0045	1.48834	9.34082	1.56158	-8.33832
0.0046	0.965881	9.20502	1.37543	-8.43475
0.0047	0.463562	9.06281	1.57257	-8.43475
0.0048	-0.0186157	8.97583	1.604	-8.30353
0.0049	-0.263062	8.91052	1.63727	-8.3313
0.005	-0.615234	8.91052	1.83899	-8.34076
0.0051	-0.747681	8.75336	2.00958	-8.27209
0.0052	-1.08673	8.71887	1.97205	-8.20465
0.0053	-1.51184	8.76953	1.95404	-8.34229
0.0054	-1.7041	9.16077	1.90826	-8.40912
0.0055	-1.87897	9.24744	1.94122	-8.30902
0.0056	-1.97144	9.35242	2.18658	-8.16803
0.0057	-2.21161	9.38995	2.30713	-8.24982
0.0058	-2.435	9.27216	2.258	-8.44574
0.0059	-2.66998	9.24591	2.30682	-8.34961
0.006	-2.89825	9.35242	2.27875	-8.0954
0.0061	-3.08563	9.32953	2.27661	-8.2312
0.0062	-3.33923	9.34418	2.38708	-8.21625
0.0063	-3.39539	9.26392	2.45697	-8.30109
0.0064	-3.50616	9.56024	2.5296	-8.38287
0.0065	-3.55316	9.53735	2.55493	-8.3728
0.0066	-3.47137	9.55536	2.60956	-8.4137
0.0067	-3.64655	9.58649	2.71942	-8.4021
0.0068	-3.82874	9.45892	2.81311	-8.29376
0.0069	-3.73505	9.53583	3.04108	-8.38562
0.007	-4.01154	9.73053	3.22296	-8.20831
0.0071	-3.88397	9.72748	3.25928	-8.17719
0.0072	-3.80798	9.61121	3.12469	-8.05603
0.0073	-3.87604	9.32129	3.15247	-8.19824
0.0074	-3.74115	9.36371	2.96906	-8.2782
0.0075	-3.87299	9.39972	3.23029	-8.18146
0.0076	-3.96484	9.29657	3.17749	-8.15826
0.0077	-3.99597	9.5047	3.28979	-8.09448
0.0078	-4.23553	9.49158	3.40332	-8.21198
0.0079	-4.23676	9.31793	3.40729	-8.15979
0.008	-4.22729	9.25568	3.48175	-8.30353
0.0081	-4.09668	9.23431	3.48053	-8.42804
0.0082	-3.95294	9.21967	3.73627	-8.48328
0.0083	-3.97797	9.2804	3.76587	-8.42773
0.0084	-3.99048	9.24744	3.86597	-8.14911
0.0085	-4.06281	9.22791	3.89191	-8.04749
0.0086	-4.04755	9.13788	3.87543	-7.8363
0.0087	-4.05945	8.94989	3.83698	-7.73132
0.0088	-4.11896	8.99231	3.82996	-7.76703
0.0089	-4.09332	9.00543	3.91449	-7.62634
0.009	-4.13116	9.03656	4.07562	-7.72919
0.0091	-4.21722	9.05304	4.1272	-7.68982
0.0092	-4.29352	9.17206	4.24561	-7.72888
0.0093	-4.38995	8.99384	4.39331	-7.69928
0.0094	-4.33838	9.00879	4.38354	-7.51556
0.0095	-4.23462	9.04633	4.49158	-7.62695
0.0096	-4.18793	9.14093	4.67987	-7.59247
0.0097	-4.17297	9.06097	4.73511	-7.48596
0.0098	-4.20837	8.90869	4.70673	-7.49878
0.0099	-4.29504	9.05609	4.84528	-7.49725
0.01	-4.40979	9.15741	4.67712	-7.62421
0.0101	-4.5224	9.24591	4.67957	-7.64404
0.0102	-4.43939	9.1394	4.94049	-7.74506
0.0103	-4.40399	9.03992	4.91913	-7.58453
0.0104	-4.47693	9.11804	4.86847	-7.60254
0.0105	-4.29047	8.99384	5.01923	-7.78259
0.0106	-4.3399	9.14612	5.05646	-7.8299
0.0107	-4.06006	9.09027	5.18372	-7.54974
0.0108	-3.94409	9.26727	5.16663	-7.59857
0.0109	-3.99658	9.29504	5.18036	-7.58209
0.011	-3.91052	9.23431	5.10406	-7.47223
0.0111	-3.95325	9.21814	5.01953	-7.40997
0.0112	-3.85437	9.25232	5.0882	-7.41943
0.0113	-3.80096	9.35883	5.13428	-7.46033
0.0114	-3.79547	9.09363	5.35492	-7.47009
0.0115	-3.69324	9.06921	5.46783	-7.44537
0.0116	-3.80554	9.133	5.42603	-7.45331
0.0117	-3.83179	9.11163	5.43488	-7.37305
0.0118	-3.84186	9.14093	5.59479	-7.211
0.0119	-3.84521	9.26727	5.68176	-7.13074
0.012	-3.69049	9.20502	5.47882	-6.99432
0.0121	-3.60168	9.20166	5.42664	-6.97968
0.0122	-3.72559	9.10187	5.38086	-7.23145
0.0123	-3.58673	9.1394	5.39154	-7.04834
0.0124	-3.45917	9.15253	5.466	-6.96289
0.0125	-3.41736	9.2099	5.41138	-6.99066
0.0126	-3.44269	9.24744	5.39368	-6.91345
0.0127	-3.43079	9.21478	5.43671	-6.80847
0.0128	-3.39294	9.09851	5.55634	-7.03766
0.0129	-3.19672	9.11987	5.55145	-7.00317
0.013	-3.20892	8.97278	5.64758	-6.95526
0.0131	-3.33588	8.84979	5.65491	-6.88507
0.0132	-3.37799	8.96118	5.65125	-6.82068
0.0133	-3.16345	8.90076	5.73517	-6.86005
0.0134	-3.0426	8.84644	5.80444	-6.67786
0.0135	-3.16956	8.67462	5.70435	-6.77612
0.0136	-3.0719	8.55988	5.65338	-6.75293
0.0137	-2.94586	8.64502	5.65155	-6.71692
0.0138	-3.09814	8.81226	5.98175	-6.69861
0.0139	-3.24585	8.95782	6.01685	-6.62659
0.014	-3.21411	8.8205	6.16974	-6.80817
0.0141	-3.28674	8.89557	6.25854	-6.9339
0.0142	-3.24219	8.91541	6.22223	-7.00562
0.0143	-3.21289	9.00879	6.29578	-7.06146
0.0144	-3.11035	9.20166	6.33636	-6.99554
0.0145	-2.98798	9.31152	6.52863	-6.88751
0.0146	-2.80243	9.26727	6.64215	-6.86096
0.0147	-2.87903	9.17389	6.4856	-6.87592
0.0148	-2.89581	9.22302	6.60492	-6.96381
0.0149	-2.91229	9.08539	6.75049	-6.94092
0.015	-2.82959	9.08386	6.72913	-6.96381
0.0151	-2.9483	9.16077	6.69586	-6.7688
0.0152	-3.04565	9.09851	6.75507	-6.85699
0.0153	-3.05237	9.31458	6.7215	-6.67664
0.0154	-3.19	9.10675	6.76422	-6.57349
0.0155	-3.12164	9.0152	6.82953	-6.46545
0.0156	-3.15186	8.87756	6.79199	-6.60919
0.0157	-3.17413	8.84827	7.07428	-6.50604
0.0158	-2.88269	8.79578	6.95892	-6.64307
0.0159	-2.81708	8.87939	6.94794	-6.62842
0.016	-2.79938	8.86963	6.92047	-6.59546
0.0161	-2.94861	8.94653	7.0578	-6.50055
0.0162	-2.86591	8.8974	7.05109	-6.68671
0.0163	-2.80945	8.83667	6.97662	-6.46271
0.0164	-2.75665	8.96606	7.14935	-6.4621
0.0165	-2.74841	9.19189	7.16766	-6.41998
0.0166	-2.85645	9.27551	7.16309	-6.51093
0.0167	-2.76672	9.32281	7.2052	-6.55365
0.0168	-2.77405	9.4458	7.18201	-6.48438
0.0169	-2.74872	9.3277	7.25189	-6.53198
0.017	-2.77252	9.20319	7.48779	-6.50391
0.0171	-2.56592	8.96271	7.37244	-6.52039
0.0172	-2.677	9.02679	7.33948	-6.63635
0.0173	-2.66052	9.16412	7.3526	-6.48224
0.0174	-2.6297	9.10187	7.39777	-6.39343
0.0175	-2.55493	9.00543	7.4118	-6.42639
0.0176	-2.55676	9.10004	7.48566	-6.40625
0.0177	-2.53326	9.01184	7.61017	-6.33911
